"","longitude","latitude","Annual Mean Temperature","Mean Temperature of Warmest Quarter","Mean Temperature of Coldest Quarter","Annual Precipitation","Precipitation of Wettest Month","Precipitation of Driest Month","Precipitation Seasonality","Precipitation of Wettest Quarter","Precipitation of Driest Quarter","Precipitation of Warmest Quarter","Precipitation of Coldest Quarter","Mean Diurnal Range","Isothermality","Temperature Seasonality","Max Temperature of Warmest Month","Min Temperature of Coldest Month","Temperature Annual Range","Mean Temperature of Wettest Quarter","Mean Temperature of Driest Quarter"
"1",-82.6,35.5,12.6791667938232,21.7000007629395,3.33333349227905,1281,130,87,11.5451097488403,345,283,341,312,13.2583332061768,40.5453643798828,742.879699707031,28.8999996185303,-3.79999995231628,32.7000007629395,4.73333358764648,13.3500003814697
"2",-82.6,35.5,12.6791667938232,21.7000007629395,3.33333349227905,1281,130,87,11.5451097488403,345,283,341,312,13.2583332061768,40.5453643798828,742.879699707031,28.8999996185303,-3.79999995231628,32.7000007629395,4.73333358764648,13.3500003814697
"3",-82.6,35.5,12.6791667938232,21.7000007629395,3.33333349227905,1281,130,87,11.5451097488403,345,283,341,312,13.2583332061768,40.5453643798828,742.879699707031,28.8999996185303,-3.79999995231628,32.7000007629395,4.73333358764648,13.3500003814697
"4",-82.6,35.5,12.6791667938232,21.7000007629395,3.33333349227905,1281,130,87,11.5451097488403,345,283,341,312,13.2583332061768,40.5453643798828,742.879699707031,28.8999996185303,-3.79999995231628,32.7000007629395,4.73333358764648,13.3500003814697
"5",-82.6,35.5,12.6791667938232,21.7000007629395,3.33333349227905,1281,130,87,11.5451097488403,345,283,341,312,13.2583332061768,40.5453643798828,742.879699707031,28.8999996185303,-3.79999995231628,32.7000007629395,4.73333358764648,13.3500003814697
"6",19.51805,49.586231,3.58750009536743,11.7666664123535,-4.40000009536743,1271,168,69,34.6820487976074,482,214,482,232,8.39166641235352,32.4002571105957,665.627258300781,17.5,-8.39999961853027,25.8999996185303,11.7666664123535,-3.78333330154419
"7",-43.354153,-22.535789,18.7749996185303,21.5499992370605,16.0666656494141,1716,261,47,56.646484375,741,161,704,161,10.283332824707,59.7868232727051,221.210525512695,26.8999996185303,9.69999980926514,17.2000007629395,21.3833332061768,16.0666656494141
"8",-75.836398,78.870415,-15.3208332061768,2,-30.1333332061768,134,28,3,75.2348403930664,74,9,66,9,5.02500009536743,12.6893939971924,1320.01281738281,6.19999980926514,-33.4000015258789,39.6000022888184,0.266666650772095,-30.1333332061768
"9",-75.836398,78.870415,-15.3208332061768,2,-30.1333332061768,134,28,3,75.2348403930664,74,9,66,9,5.02500009536743,12.6893939971924,1320.01281738281,6.19999980926514,-33.4000015258789,39.6000022888184,0.266666650772095,-30.1333332061768
"10",-75.836398,78.870415,-15.3208332061768,2,-30.1333332061768,134,28,3,75.2348403930664,74,9,66,9,5.02500009536743,12.6893939971924,1320.01281738281,6.19999980926514,-33.4000015258789,39.6000022888184,0.266666650772095,-30.1333332061768
